ID,File_name,Report_ID,Site,Prefecture,remains,type,rim_diameter,hight,Reference,Target,Processing_marks,Phase,inside,outside
2200,TYd001,1,仏生寺城跡（2005）,Toyama,2005-1T中央土坑,TI,8.5,1.57,,TRUE,,BS_L15C,,
2201,TYd002,2,仏生寺城跡（2005）,Toyama,2005-1T中央土坑,TI,8.4,1.6,,TRUE,,BS_L15C,,
2202,TYd003,3,仏生寺城跡（2005）,Toyama,2005-1T中央土坑,TI,8.2,1.68,,TRUE,,BS_L15C,,
2203,TYd006,6,仏生寺城跡（2005）,Toyama,2005-1T中央土坑,RF,8.2,1.4,,TRUE,,BS_L15C,,
2204,TYd007,7,仏生寺城跡（2005）,Toyama,2005-1T中央土坑,RF,8.2,1.7,,TRUE,,BS_L15C,,
2205,TYd008,8,仏生寺城跡（2005）,Toyama,2005-1T中央土坑,RF,9.3,1.85,,TRUE,,BS_L15C,,
2206,TYd009,9,仏生寺城跡（2005）,Toyama,2005-1T中央土坑,RF,9.8,1.7,,TRUE,,BS_L15C,,
2207,TYd010,10,仏生寺城跡（2005）,Toyama,2005-1T中央土坑,RF,9.7,1.7,,TRUE,,BS_L15C,,
2208,TYd011,11,仏生寺城跡（2005）,Toyama,2005-1T中央土坑,RF,9.6,1.8,,TRUE,,BS_L15C,,
2209,TYd012,12,仏生寺城跡（2005）,Toyama,2005-1T中央土坑,RH,11.8,2.1,,TRUE,,BS_L15C,,
2210,TYd013,13,仏生寺城跡（2005）,Toyama,2005-1T中央土坑,TJ,8.4,1.75,,TRUE,,BS_L15C,,
2211,TYd015,15,仏生寺城跡（2005）,Toyama,2005-1T中央土坑,RH,15.9,2.6,,TRUE,,BS_L15C,,
2153,TYc070,70,仏生寺城跡,Toyama,2000-SD06,TJ,7.2,1.5,舟橋村教育委員会2000,TRUE,,BS_L15C,,
2154,TYc071,71,仏生寺城跡,Toyama,2000-SD06,TJ,7.3,1.5,舟橋村教育委員会2000,TRUE,,BS_L15C,,
2155,TYc072,72,仏生寺城跡,Toyama,2000-SD06,TJ,7.6,1.5,舟橋村教育委員会2000,TRUE,,BS_L15C,,
,73,73,仏生寺城跡,Toyama,SD06,TJ,8,1.5,富山県埋蔵文化財センター2001,,,,調整不明瞭,
2156,TYc074,74,仏生寺城跡,Toyama,2000-SD06,TJ,8.3,1.7,舟橋村教育委員会2000,TRUE,,BS_L15C,,
2157,TYc075,75,仏生寺城跡,Toyama,2000-SD06,TJ,8.2,1.4,舟橋村教育委員会2000,TRUE,,BS_L15C,,
,76,76,仏生寺城跡,Toyama,SD06,TJ,8.2,1.7,富山県埋蔵文化財センター2001,,,,見込：一方向ナデ→体部・口縁：の字ナデ,口縁：横ナデ
,77,77,仏生寺城跡,Toyama,SD06,TJ,8.4,1.4,富山県埋蔵文化財センター2001,,,,調整不明瞭,
2158,TYc078,78,仏生寺城跡,Toyama,2000-SD06,TJ,8.6,1.6,舟橋村教育委員会2000,TRUE,,BS_L15C,,
2159,TYc079,79,仏生寺城跡,Toyama,2000-SD06,TJ,9,1.8,舟橋村教育委員会2000,TRUE,,BS_L15C,,
,80,80,仏生寺城跡,Toyama,SD06,TJ,9.3,1.4,富山県埋蔵文化財センター2001,,,,見込：一方向ナデ→体部・口縁：の字ナデ,口縁：横ナデ
,81,81,仏生寺城跡,Toyama,SD06,TJ,9.4,1.7,富山県埋蔵文化財センター2001,,,,見込：一方向ナデ→体部・口縁：の字ナデ,口縁：横ナデ
,82,82,仏生寺城跡,Toyama,SD06,TJ,8.4,1.9,富山県埋蔵文化財センター2001,,,,見込：一方向ナデ→体部・口縁：横ナデ,口縁：横ナデ
2160,TYc083,83,仏生寺城跡,Toyama,2000-SD06,TJ,9.6,1.8,舟橋村教育委員会2000,TRUE,,BS_L15C,,
2161,TYc084,84,仏生寺城跡,Toyama,2000-SD06,TJ,9.4,1.8,舟橋村教育委員会2000,TRUE,,BS_L15C,,
2162,TYc085,85,仏生寺城跡,Toyama,2000-SD06,TJ,9.8,2.1,舟橋村教育委員会2000,TRUE,,BS_L15C,,
2163,TYc086,86,仏生寺城跡,Toyama,2000-SD06,TJ,9.2,1.9,舟橋村教育委員会2000,TRUE,,BS_L15C,,
2164,TYc087,87,仏生寺城跡,Toyama,2000-SD06,TJ,9,1.9,舟橋村教育委員会2000,TRUE,,BS_L15C,,
2165,TYc088,88,仏生寺城跡,Toyama,2000-SD06,TJ,11.6,2.3,舟橋村教育委員会2000,TRUE,,BS_L15C,,
,89,89,仏生寺城跡,Toyama,SD06,TJ,12,2.2,富山県埋蔵文化財センター2001,,,,見込：一方向ナデ→体部・口縁：横ナデ,口縁：横ナデ
,90,90,仏生寺城跡,Toyama,SD06,TJ,12.6,2.5,富山県埋蔵文化財センター2001,,,,見込：乱方向ナデ→一方向ナデ→口縁：横ナデ,口縁：横ナデ
,91,91,仏生寺城跡,Toyama,SD06,TJ,13.6,2.8,富山県埋蔵文化財センター2001,,,,見込：乱方向ナデ→一方向ナデ→口縁：横ナデ,口縁：横ナデ
2166,TYc092,92,仏生寺城跡,Toyama,2000-SD06,TJ,14,2.7,舟橋村教育委員会2000,TRUE,,BS_L15C,,
,93,93,仏生寺城跡,Toyama,SD06,TJ,14,2.9,富山県埋蔵文化財センター2001,,,,見込：乱方向ナデ→一方向ナデ→口縁：横ナデ,口縁：横ナデ
