ID,File_name,Report_ID,Site,Prefecture,remains,type,rim_diameter,hight,Reference,Target,Traces_of_processing,Phase
2089,TYa2079,2079,石名田木舟遺跡,Toyama,B2-SD2515,TK,8.8,2.3,（財）富山県文化振興財団2002,TRUE,,IS_B2_1期
2090,TYa2080,2080,石名田木舟遺跡,Toyama,B2-SD2515,TK,8.8,2.2,（財）富山県文化振興財団2002,TRUE,,IS_B2_1期
2091,TYa2081,2081,石名田木舟遺跡,Toyama,B2-SD2515,TK,9.2,2.4,（財）富山県文化振興財団2002,TRUE,,IS_B2_1期
2092,TYa2083,2083,石名田木舟遺跡,Toyama,B2-SD2515,TK,9.6,2.2,（財）富山県文化振興財団2002,TRUE,,IS_B2_1期
2093,TYa2084,2084,石名田木舟遺跡,Toyama,B2-SD2515,TK,9.3,2.6,（財）富山県文化振興財団2002,TRUE,,IS_B2_1期
2094,TYa2085,2085,石名田木舟遺跡,Toyama,B2-SD2515,TK,12.7,2.3,（財）富山県文化振興財団2002,TRUE,,IS_B2_1期
2095,TYa2086,2086,石名田木舟遺跡,Toyama,B2-SD2515,TK,13.2,2.6,（財）富山県文化振興財団2002,TRUE,,IS_B2_1期
2096,TYa2156,2156,石名田木舟遺跡,Toyama,B2-SD1972,TK,10.4,2.25,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期
2097,TYa2164,2164,石名田木舟遺跡,Toyama,B2-SD1021,TK,10.3,2.2,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期
2098,TYa2169,2169,石名田木舟遺跡,Toyama,B2-SD1132,TK,9.3,2.1,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期
2099,TYa2172,2172,石名田木舟遺跡,Toyama,B2-SD1135,TK,9.9,2.1,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期
2100,TYa2176,2176,石名田木舟遺跡,Toyama,B2-SD1165,TK,10.4,2.3,（財）富山県文化振興財団2002,TRUE,,IS_B2_4期
2101,TYa2179,2179,石名田木舟遺跡,Toyama,B2-SD1168,TK,8.8,2.2,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期
2102,TYa2180,2180,石名田木舟遺跡,Toyama,B2-SD1168,TK,9.2,2.1,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期
2103,TYa2248,2248,石名田木舟遺跡,Toyama,B2-SD1278,TK,8.9,1.95,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期
2104,TYa2249,2249,石名田木舟遺跡,Toyama,B2-SD1278,TK,8.9,1.9,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期
2105,TYa2251,2251,石名田木舟遺跡,Toyama,B2-SD1278,TK,20.9,3,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期
2106,TYa2286,2286,石名田木舟遺跡,Toyama,B2-SD1953,TI,8.6,2,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期
2107,TYa2287,2287,石名田木舟遺跡,Toyama,B2-SD1953,TK,9,2.2,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期
2108,TYa2288,2288,石名田木舟遺跡,Toyama,B2-SD1953,TK,9.9,2.3,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期
2109,TYa2289,2289,石名田木舟遺跡,Toyama,B2-SD1953,TK,10.6,2.3,（財）富山県文化振興財団2002,TRUE,,IS_B2_2-3期
2110,TYa2356,2356,石名田木舟遺跡,Toyama,C-SD3535,TK,8,2.1,（財）富山県文化振興財団2002,TRUE,,IS_C_2期
2111,TYa2357,2357,石名田木舟遺跡,Toyama,C-SD3535,TK,9,2.2,（財）富山県文化振興財団2002,TRUE,,IS_C_2期
